13051,SI
10014,NO
8660,SI
7942,NO
2569,SI
8566,SI
6646,SI
1245,SI
8215,NO
9243,SI
6532,SI
6484,SI
3598,SI
13460,SI
10186,NO
8364,SI
4966,SI
14779,NO
14690,SI
10688,SI
10835,SI
7527,NO
13783,NO
9550,SI
5768,SI
13924,SI
9550,SI
5782,SI
8493,SI
12968,SI
8442,SI
11203,SI
909,SI
6338,SI
11203,SI
393,NO
4966,SI
14219,NO
10696,SI
14781,NO
7242,SI
8792,SI
12968,SI
5967,SI
6178,SI
13050,SI
14781,NO
13584,SI
10932,SI
12253,SI
13136,SI
9822,SI
6935,SI
10782,SI
14766,NO
9294,SI
8133,SI
104,SI
8506,SI
10149,SI
10577,SI
9640,SI
13589,SI
12270,SI
13589,SI
4066,SI
13867,NO
14722,SI
14647,SI
8792,SI
1356,SI
8792,SI
8792,SI
10946,NO
10848,NO
10716,SI
1370,NO
13581,SI
10766,SI
9508,SI
13785,SI
13527,SI
12206,SI
9992,SI
3808,SI
13990,SI
4219,SI
4219,SI
7240,SI
6045,SI
10808,SI
10681,SI
779,SI
9099,SI
14061,SI
9099,SI
8792,SI
8792,SI
8792,SI
7987,SI
13022,SI
6992,NO
9889,SI
13473,SI
12352,SI
10673,SI
1622,SI
14495,SI
13940,SI
8792,NO
10974,SI
9380,SI
13784,SI
11292,NO
4452,SI
8240,SI
8182,SI
9638,SI
11015,NO
12325,SI
4452,NO
10776,NO
12786,SI
10561,SI
4781,NO
6139,SI
14560,SI
13979,NO
6930,SI
10158,SI
1754,SI
2683,SI
13794,SI
3380,SI
10626,SI
13718,NO
9045,SI
10777,NO
9687,SI
13048,SI
4657,SI
10562,SI
9217,SI
2301,SI
9202,SI
9691,SI
3424,SI
902,SI
6720,SI
8780,SI
12295,SI
10940,SI
13053,SI
6524,SI
10573,SI
10537,SI
13053,SI
10929,SI
10672,SI
5310,SI
8963,SI
13053,SI
8963,SI
7691,SI
902,SI
7383,SI
4998,SI
4998,SI
7600,SI
67,SI
9045,SI
9758,SI
13520,SI
6224,SI
4010,SI
9405,SI
8335,SI
13850,NO
6337,SI
1318,SI
4870,SI
9863,SI
9758,SI
10850,SI
7562,SI
10972,SI
5810,SI
3365,NO
901,SI
14354,NO
9561,SI
13020,NO
8335,NO
10674,SI
9117,SI
9599,SI
2113,SI
901,SI
8382,SI
14682,SI
13002,SI
4010,NO
12267,NO
14793,NO
14633,SI
3639,SI
14721,SI
14079,NO
13736,NO
10484,SI
9470,SI
10614,NO
4267,SI
900,SI
2406,SI
900,SI
9915,SI
5622,SI
13422,SI
11098,SI
1253,SI
10793,NO
9567,SI
9158,NO
9685,SI
9685,SI
9699,NO
8830,SI
4539,SI
9701,NO
8288,SI
8691,SI
3375,SI
10878,SI
10790,NO
2133,SI
8301,SI
14355,NO
13498,SI
5115,SI
14664,SI
8735,SI
4231,SI
9502,SI
8279,SI
2731,SI
13654,SI
12362,NO
3175,SI
6594,SI
13509,SI
9459,SI
14638,NO
5831,SI
9229,SI
6594,SI
9568,NO
13643,SI
8742,SI
8742,SI
5014,SI
11295,NO
5014,SI
844,SI
7813,SI
8863,SI
4938,SI
7004,SI
11297,NO
8517,SI
3174,SI
9196,SI
6851,SI
11008,SI
13084,NO
9832,SI
8263,SI
8453,SI
7777,SI
830,SI
6141,SI
10618,SI
11006,NO
13969,NO
9049,SI
2672,SI
4534,SI
13647,SI
11295,NO
820,SI
6391,SI
14044,NO
12750,NO
1094,SI
7813,SI
10783,SI
9626,SI
2958,NO
2958,NO
6765,NO
3825,NO
6800,SI
14469,NO
10685,SI
14684,NO
2926,SI
5038,SI
5038,SI
3997,SI
14361,SI
5286,SI
9666,SI
9360,SI
8392,SI
10596,SI
2923,SI
12677,SI
13469,SI
5057,SI
11256,SI
4998,SI
9686,SI
10855,NO
9726,SI
6960,SI
9654,SI
12866,SI
11297,NO
7947,SI
6866,SI
10620,SI
13497,SI
14699,SI
6866,SI
7910,NO
85,NO
6848,SI
7947,SI
395,SI
14213,SI
12907,SI
9372,NO
7660,SI
14658,SI
14658,SI
10534,SI
5199,SI
13969,NO
4570,SI
9894,SI
14060,NO
13892,SI
14516,SI
3153,NO
6640,SI
14787,NO
5126,SI
13744,SI
4465,SI
10499,SI
4878,SI
4870,SI
10723,SI
10153,SI
9869,SI
10154,SI
